PlayerID,SeasonType,Season,Team,Number,Name,Position,PositionCategory,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,KickReturns,KickReturnYards,KickReturnTouchdowns,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,FieldGoalsAttempted,FieldGoalsMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,FantasyPosition,PlayerSeasonID,ExtraPointsAttempted,AuctionValue,AuctionValuePPR,FantasyPointsFanDuel,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FantasyPointsDraftKings,AverageDraftPosition,AverageDraftPositionPPR,TeamID
24242,1,2023,IND,29,JuJu Brents,CB,DEF,17,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.20,11.10,0.90,0.00,0.00,0.00,4.30,0.60,0.30,0.00,0.50,0.10,0.00,0.00,0.00,0.00,0.00,0.00,37.75,DB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,14
24258,1,2023,IND,95,Adetomiwa Adebawore,DE,DEF,17,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,2.80,0.90,0.00,0.00,0.00,0.30,0.10,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,DL,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,14
14996,1,2023,JAX,10,Brandon McManus,K,ST,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.70,24.40,41.30,0.00,0.00,0.00,114.50,K,,41.80,1,1,114.50,0.00,0.00,0.00,0.00,0.00,114.50,211.00,195.00,15
16861,1,2023,JAX,90,Angelo Blackson,DT,DEF,17,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.80,8.90,2.70,1.10,7.70,2.30,0.90,0.30,0.20,0.00,0.30,0.10,0.00,0.00,0.00,0.00,0.00,0.00,34.12,DL,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,15
17993,1,2023,JAX,96,Adam Gotsis,DL,DEF,17,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.10,7.00,2.10,2.40,16.80,5.00,1.30,0.20,0.10,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.98,DL,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,15
18292,1,2023,JAX,95,Roy Robertson-Harris,DL,DEF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.80,17.40,5.20,4.90,34.30,10.30,3.30,0.60,0.30,0.00,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,79.63,DL,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,15
18912,1,2023,JAX,17,Evan Engram,TE,OFF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.30,2.30,0,0.00,0.00,92.90,64.80,688.30,10.6,3.70,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.06,TE,,0.00,9,10,123.46,0.00,0.00,0.00,0.00,0.00,155.96,81.00,85.00,15
18926,1,2023,JAX,7,Zay Jones,WR,OFF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,1.50,9.60,5,0.00,0.00,92.90,62.20,670.80,10.8,3.80,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.44,WR,,0.00,1,3,121.54,0.00,0.00,0.00,0.00,0.00,152.84,154.00,156.00,15
18959,1,2023,JAX,91,Dawuane Smoot,OLB,DEF,9,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.60,5.30,0.80,2.60,18.20,5.50,0.70,0.20,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.47,LB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,15
18973,1,2023,JAX,3,C.J. Beathard,QB,OFF,17,17,39.90,23.90,246.00,60.0,6.2,10.2,1.40,1.00,75.62,0.00,0.00,0.00,3.40,8.00,2.7,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.84,QB,,0.00,0,0,14.84,0.00,0.00,0.00,0.00,0.00,15.04,655.00,837.00,15
